videoId,videoComments,videoLikes,videoViews
ju1zNXYiMMo,261,920,36944
yPoamemN20Q,44,754,23771
H6du_pfuznE,565,9953,559132
IJ9atfxFjOQ,179,3420,146482
Cf1BlqdIFU4,39,345,11522
XmLYl17DbbA,174,4506,196336
WyZmM6K7ubc,370,3816,347319
2maPaQutcWs,90,2252,124689
-JP3yjtK0M8,52,470,17374
-rw3TtDCVRE,46,768,17543
PYvAfKNGVlg,49,821,39299
TYEqenKrbaM,175,4318,134810
JeiCxJP7IK4,46,743,25913
DDBk3ZFNtJc,110,2358,161228
7fPvKahR4Eg,111,1222,32000
mWQjx_lbWjg,30,392,11644
OS9xRGKfx4E,56,1713,105432
JxgmHe2NyeY,543,22805,1351503
_78rA4uV4jA,48,753,31327
y5H0B-cCuRw,42,435,11844
sg2zLIor6QU,111,2415,64590
QZI1v5Tdyk0,104,850,19100
xXtdLrUlYGg,52,151,3937
pO_6Jk0QtKw,134,4009,193161
y9AK1YKRoLg,200,4791,143350
XJ2yx3LRXg4,38,336,8160
bkhUjwJbP1k,149,3326,69939
Suq74qfwmaA,129,1087,91889
9wFBbAQixBM,68,1716,80470
vPw734VvPqg,153,3307,68442
foPKfgg_Dx0,70,813,24234
Hb6mSXa14oo,50,462,13228
-PAq8nh5txE,72,988,33464
g8zA76oBmX0,207,1563,26528
zLYy195oIIY,48,150,14225
qgf4_5ximzI,36,892,26411
zfK1CJdkDTU,115,767,17932
leW-sM3Gr-I,63,861,19138
I0noN8neaiQ,45,490,21656
9BQ353Yu1D0,61,901,31902
0m2r9elReBY,62,244,6787
i_FtfdOKa2M,44,525,19938
cMJWC-csdK4,315,5872,192564
7uLzGRlXXDw,80,3081,86170
wr6Abu-aDsA,95,3733,133664
3SRh2nzN2DM,105,3027,103081
8nMWP2IiIzg,67,770,35778
kckCATLUUZ8,150,1027,19753
fzKib6rBZz8,63,312,7018
aoq6TcUAyHQ,58,330,12258
2WOa4_3Bgtw,53,1122,57197
Ae6q7v7pOxM,31,271,13603
0QLrcsTQixc,109,573,9141
KIOeZ5cFZ50,214,9104,371408
JnWS89CISQo,96,1298,41551
FpDsDn-fBKA,105,4835,248954
MZU4BcMFw7w,106,1029,107266
aXwkBfEfeFE,145,883,10330
OpGM0Zzf9jw,47,372,16749
kQ9qiIzsFxM,90,1805,59394
0eSuDlQ6msU,58,610,23832
dIb-DujRNEo,96,1733,52127
p42BzKKAO74,32,231,9039
nw0l12p-FvI,38,733,16434
Kk4ukdWqKPM,49,821,30948
Ih1LDnPijFU,102,1026,31942
OJxmLhtBagY,49,527,18646
TYaYeLsnljI,36,894,27618
bFy_oIqVEOc,70,1050,33545
zXaoGONmiOg,36,331,7431
RSB-rbhxAII,41,395,8986
zC6B490i-IY,91,1355,49077
TgD97eJeF-4,263,1072,29405
u6SSI1i_WDg,36,610,23472
FzwJoHawwwI,145,1034,31572
D-a6dwXzJ6s,40,1787,78630
v8yigSMQJak,44,444,12169
y8qRq9PMCh8,107,2321,48780
5FYBf-HG3as,38,604,14980
CXJo-XWBRPs,69,1721,52039
QZMWr0BOeQA,109,1112,33475
5W9QiJo95Ws,80,468,16374
oqz6BX6xHtU,39,713,34691
E_v1MHJ69wY,64,236,6755
tTQPc6DhHwI,131,1528,30687
xHwiBF0wVF8,80,1819,57109
_-qYhopjlS8,158,1080,39121
PjnGHrQd_Tk,57,395,21334
IX4QhQlJoDg,45,776,25113
ePHlFloOL2A,36,334,13710
07vd9dWYjyI,72,720,39743
3OvmwM61vJw,105,679,18637
2wjFQXNYLMI,33,339,14870
qR3HWsMFfZA,107,1228,51289
fGCJ2UxdmCg,66,264,12691
c63bTKjwfaQ,47,778,17756
P_iMSYQnqac,79,3505,202772
sRbiBoO9HNY,46,1153,96232
578ug9EtWRE,38,815,22728
7JayocM9yck,32,852,41337
XDged1ZBFCU,33,198,11133
QuWbB_cRSKk,50,549,38250
4D8mTJue9BE,84,1141,88878
YT3GoxjXhIc,64,1848,48222
StH5YNrY0mE,227,2057,202804
UV81LAb3x2g,115,1875,100575
xux03wboUfY,111,1447,31656
CVUpXeplavY,37,940,17891
XSsnPtHRZ6A,118,705,47660
pZakG-kIt_o,33,518,17648
GTK2PVZLvzY,32,2173,100571
zOjAdtaA3k8,70,722,56237
5iWoOMgo5I0,48,780,23359
Bpcjmfqwukw,39,577,10296
bR6G7w6wp0Y,56,1033,22318
fdhojC37_Co,63,1633,69171
HuDzjNTgS2A,75,1702,116427
WIZeMBxtvgM,76,840,68462
LkR3GNDB0HI,74,2748,162871
dcGwuETxhrk,104,1345,40097
9HjmCT024nE,71,289,19043
gQRYqlFQNK8,90,2754,89863
hTacGMfL8lc,136,3324,134174
C3r7tGRe2eI,78,2862,152917
1lCEPvb1OmI,154,596,18992
YFNKnUhm_-s,47,3130,413612
xCb8yN2lHCA,32,258,6300
EhQzMMLpJ7s,57,314,16924
chQNuV9B-Rw,363,6557,372248
YWz94gBwvx4,45,831,33542
H3XLM7DUhSY,103,3592,106739
SYDt7eT5k68,52,457,10991
JneXvhlJW_k,268,1835,30756
zfL5E-e79nc,40,491,20931
EqRsD3gqeCo,53,1065,171612
uWD-r7GZppg,67,1506,53078
W-tE_ZP1zv4,255,1102,32593
DeT8mji0Jos,40,375,80981
8vNBW98LbfI,91,854,50560
qnbJcbjh-3s,55,1190,94531
pH9dim0tRmE,46,490,12342
ipFUANeStYE,137,1433,69312
us1XyayQ6fU,78,2303,192462
IvN1Zql00Qo,38,659,21922
JyLUjE3pB_8,37,967,45822
Y9mxx1Mer0I,33,602,20251
Xuyt5U83qqA,50,483,39104
XEzDhOQbvEE,31,311,10866
aA76uj5kQac,54,807,29898
P3VErRW2HHY,41,255,11085
pMv5idWmTvQ,39,435,17495
cDwsaQoP4Lk,157,711,44877
dmt2R4A3W1Q,58,1737,66580
aK506baLAGA,98,931,35633
8SzEWVfIi_Y,191,1976,62909
_mW0MZnpb_Q,41,194,7451
1IQOtJ4NI_0,125,4533,306366
E9gVleivB6M,30,528,37116
w3coRFpyddQ,73,1619,173433
qGQQesfQ3gw,151,2649,80810
KM3xM8kHQ9E,55,445,9586
CG9iLLhqQF8,95,6022,186731
_gGRBWaRpAQ,64,2080,72641
u4zxjge7YxE,31,1473,82158
4s7mOZ07tBc,112,2241,92864
46FIOSYqruE,30,490,20806
mbYEhK-HcmM,53,601,13164
4P0mtuGfyx8,107,397,19274
yilLCG5L4UI,126,768,32448
MLARYBpFH40,114,3963,99243
EqLBAmtKMnQ,209,4617,224219
OjiTgpDPQbE,174,2289,55454
HW740DKh8AI,62,1025,29804
9dbB_wqjbUY,135,1273,28572
ydzFSLDmHmE,128,1843,62579
vMRMmrvU_MU,36,475,13171
VO6PeW6AePs,77,2829,123693
CSEmUmkfb8Q,102,1466,94622
GseZVPT-7dc,93,2015,52869
m_34mufafYY,160,1506,48768
C9eZclkoWSs,204,6917,453417
UbCWoMf80PY,194,4681,292972
N9-e4Vq8hp0,55,579,22137
6c-qeb_uESA,36,803,21561
i-5zxJ94NNU,56,235,12473
jzPluADHkIs,56,508,9193
cgc3dSEAel0,37,581,22388
SH8D4WJBhms,96,2238,94445
Wg8ue17LMT8,58,274,13938
MO5n5JaRotc,111,1492,101710
GW7B6vwktPA,32,994,65168
LOUaom9HZIg,45,680,31837
HEHUpBO8UVc,81,4050,180527
IZXNgu4dW70,37,500,30690
UWo9r6flDjk,89,842,40429
it0l6lx3qI0,66,1254,82947
2m7Pgl-84F8,100,2323,80595
pDw_JHHvj-0,93,2926,83822
zipFBP4SASA,55,949,36775
4L_xAWDRs7w,67,3186,226135
ciqWMIf7Pz0,98,1520,55813
0l9Pu4dk89c,44,1754,107325
CC6qMpqgUMU,103,1517,55896
u3DKBbnnpTQ,39,471,11461
