,videoId,videoDuration,videoQuality,videoKind
118,CNIRVeL9gOo,54.0,hd,youtube#video
119,XNIJJXFZkX0,56.0,hd,youtube#video
120,m3fh54BGA8g,48.0,hd,youtube#video
121,n083nxT3rtk,6536.0,hd,youtube#video
122,2NQDKsbzOGg,41.0,hd,youtube#video
123,Juq-n91GxSc,59.0,hd,youtube#video
124,M81gDvtIKpk,2217.0,hd,youtube#video
125,uRxPZ31pXEk,101.0,hd,youtube#video
126,cyvkMFZnheo,2393.0,hd,youtube#video
127,qI9x3Hr0vzs,269.0,hd,youtube#video
128,_0h7nWSR_7c,106.0,hd,youtube#video
129,10vnEMwjbEQ,201.0,hd,youtube#video
130,KR6SqeSfTlM,4641.0,hd,youtube#video
131,TL4IZXBMGjU,137.0,hd,youtube#video
132,b7E5bviM3_c,35.0,hd,youtube#video
133,DVukA_ahtdI,44.0,hd,youtube#video
134,9R43NAq3kV8,2206.0,hd,youtube#video
135,y7CupIohJIc,31.0,hd,youtube#video
136,9hqXcyTWqXg,30131.0,hd,youtube#video
137,oO2-Ca64rG4,190.0,hd,youtube#video
138,yjWUdLHT5ws,40.0,hd,youtube#video
139,3zdvjhLjkxc,25.0,hd,youtube#video
140,4re3QM4lYSg,5140.0,hd,youtube#video
141,WBByV2AdX08,68.0,hd,youtube#video
142,NI7eD46fNCo,96.0,hd,youtube#video
143,UM7WP_T94Dk,45.0,hd,youtube#video
144,KEKZN-4lN2A,90.0,hd,youtube#video
145,deByIAOTxDU,37.0,hd,youtube#video
146,vjwbb3tEK7Q,155.0,hd,youtube#video
147,DpetlqfNyR8,98.0,hd,youtube#video
148,NFqElVSHTLA,100.0,hd,youtube#video
149,7CXvkjRPJeY,123.0,hd,youtube#video
150,UsN52FizRLY,54.0,hd,youtube#video
151,1K5ZrZjbes4,617.0,hd,youtube#video
152,k8E96ckDevo,58.0,hd,youtube#video
153,bEY9R2eyEbY,47.0,hd,youtube#video
154,EmITj7A7OyA,163.0,hd,youtube#video
155,zbzLlamEN1w,164.0,hd,youtube#video
156,CQhs47utf9c,29097.0,hd,youtube#video
157,PJkkJ4txEfk,56.0,hd,youtube#video
158,gM8EZ_pvV_8,72.0,hd,youtube#video
159,rdbhniC7X-A,107.0,hd,youtube#video
160,IoAbE4dXb9w,9226.0,hd,youtube#video
161,_Pb5g_4PFtg,310.0,hd,youtube#video
162,JutElVWeJeo,15807.0,hd,youtube#video
163,rcOatmG7J6A,968.0,hd,youtube#video
164,9oZu7GN-PBQ,49.0,hd,youtube#video
165,x4DKkaQueQ4,41.0,hd,youtube#video
166,JS8hGyGr2eA,255.0,hd,youtube#video
167,qrzcBVVCz2Y,118.0,hd,youtube#video
168,v3cYkYbGE_8,3637.0,hd,youtube#video
169,1C6qTwrl5gw,31.0,hd,youtube#video
170,78G0R8qVgRk,48.0,hd,youtube#video
171,pAWlkuy3tG8,165.0,hd,youtube#video
172,bWh_qlMQi4A,76.0,hd,youtube#video
173,jQ3KHzdwMnk,56.0,hd,youtube#video
174,y18wvrI6v0E,58.0,hd,youtube#video
175,_crBktBMnaY,37.0,hd,youtube#video
176,MeQtc3-R8G4,23678.0,hd,youtube#video
177,zhd3ZTfMswQ,370.0,hd,youtube#video
178,8mcCa1vNYDE,529.0,hd,youtube#video
179,fhTymbAFPeI,54.0,hd,youtube#video
180,UBpgv-zW9wQ,96.0,hd,youtube#video
181,59S2f4N4EvU,135.0,hd,youtube#video
182,yALK1x_nM3M,375.0,hd,youtube#video
183,buGfbnhPaXk,244.0,hd,youtube#video
184,mvparyS9ijI,14140.0,hd,youtube#video
185,RpTmnRGJvRQ,1081.0,hd,youtube#video
186,OxCVXUE1prk,39.0,hd,youtube#video
187,L3rIWH93FtE,2745.0,hd,youtube#video
188,orXNq6xePGw,14940.0,hd,youtube#video
189,nbp5ezmPUqY,36461.0,hd,youtube#video
190,UsglokDLa2o,1303.0,hd,youtube#video
191,SKzT9sSkj0s,196.0,hd,youtube#video
192,kpJSRe05cJk,63.0,hd,youtube#video
193,QfryKNwY5a8,84.0,hd,youtube#video
194,BjcpOVQhNlc,4582.0,hd,youtube#video
195,6bsPX0b0ttk,49.0,hd,youtube#video
196,UwMnac2y_b8,79.0,hd,youtube#video
197,gbNuI00gMbw,34.0,hd,youtube#video
198,mac-iUcAT-M,87.0,hd,youtube#video
199,h8ZELxYawJA,57.0,hd,youtube#video
200,8_ndFqeivKk,604.0,hd,youtube#video
201,g8zA76oBmX0,3900.0,hd,youtube#video
202,59rSi0Igjc0,59.0,hd,youtube#video
203,DJgxjnA3lpc,12861.0,hd,youtube#video
204,uzpUU2jK79w,78.0,hd,youtube#video
205,WZ1I37fB5Y8,10050.0,hd,youtube#video
206,P_gAzwkPHbs,104.0,hd,youtube#video
207,aPOS1cHoHCI,53.0,hd,youtube#video
